EBAY,YHOO
52.830002,35.810001
52.529997,35.619999
53.059998,36.529999
53.259998,35.700001
53.459998,35.79000100000001
53.559998,35.66
54.089999,35.91
53.879998,35.79000100000001
53.429997,35.52
52.939999,36.189999
52.929997,36.360001
52.639999,36.470001
53.109998,37.380001
53.749997,37.830002
53.400001,37.5
55.89,37.639999
55.499997,38.009998
55.49,37.709999
56.249997,37.790001
55.919996,38.18
55.429998,38.310001
55.499997,38.509998
54.879998,39.27
54.549997,38.869999
54.439995,39.189999
53.900001,39.59
54.229998,41.810001
52.729997,40.779999
51.099996,41.139999
50.679997,41.259998
52.189999,42.880001
50.959998,42.549999
51.609998,42.709999
51.950001,42.59
52.700001,42.09
52.400001,40.93
52.47,38.650002
52.739999,39.049999
52.929997,39.880001
52.150001,38.950001
52.929997,40.66
52.659998,40.52
56.629998,40.75
55.459999,40.32
54.859999,40.5
54.439995,41.029999
53.549997,41.52
52.97,40.93
54.509999,41.080002
52.859998,41.099998
51.859998,39.599998
50.459998,38.380001
50.589998,37.970001
50.239998,37.82
47.88,38.119999
47.95,38.450001
49.2,39.279999
50.859998,40.18
50.130001,42.0
50.789999,42.599998
51.12,43.5
51.189999,44.700001
51.2,45.869999
51.330001,45.43
51.549996,45.630001
52.499996,46.049999
52.700001,46.34
53.27,47.080002
53.589999,47.459999
53.259998,47.93
53.52,48.549999
53.889999,49.41
54.189995,49.049999
54.059999,50.599998
54.36999599999999,50.5
54.359999,51.75
54.830002,52.369999
55.379998,51.75
54.939995,50.580002
54.54,51.25
54.419996,51.040001
54.39,51.830002
54.400001,51.720001
54.569996,51.93
54.879998,51.740002
54.86999599999999,50.099998
55.020001,50.669998
54.809999,50.279999
54.669996,50.41
54.809999,50.990002
55.150002,49.619999
55.400002,50.509998
55.270001,49.209999
56.79,49.939999
55.770001,50.240002
55.439995,49.82
55.939995,48.849998
56.409999,50.119999
57.529999,50.91
57.139996,50.880001
57.329999,51.150002
57.229998,50.02
57.099998,50.650002
57.04,50.860001
57.029998,50.529999
57.220001,51.220001
56.11999599999999,50.509998
56.209999,50.169998
55.74,49.130001
55.019996,49.209999
54.929998,48.59
56.409999,50.23
55.629998,49.720001
55.199997,48.799999
55.129998,48.299999
54.029998,47.509998
53.02,46.23
53.659998,46.470001
53.679998,47.630001
53.379997,48.18
57.149998,48.889999
56.759999,48.950001
56.059999,49.439999
54.69,47.990002
53.839999,46.459999
53.959999,43.73
52.999996,43.990002
